"cbsa_code","cbsa_title","state_fips_list","n_states","multi_state_metro"
"10100","Aberdeen, SD","46",1,FALSE
"10140","Aberdeen, WA","53",1,FALSE
"10180","Abilene, TX","48",1,FALSE
"10220","Ada, OK","40",1,FALSE
"10300","Adrian, MI","26",1,FALSE
"10380","Aguadilla, PR","72",1,FALSE
"10420","Akron, OH","39",1,FALSE
"10460","Alamogordo, NM","35",1,FALSE
"10480","Alamosa, CO","08",1,FALSE
"10500","Albany, GA","13",1,FALSE
"10540","Albany, OR","41",1,FALSE
"10580","Albany-Schenectady-Troy, NY","36",1,FALSE
"10620","Albemarle, NC","37",1,FALSE
"10660","Albert Lea, MN","27",1,FALSE
"10700","Albertville, AL","01",1,FALSE
"10740","Albuquerque, NM","35",1,FALSE
"10760","Alexander City, AL","01",1,FALSE
"10780","Alexandria, LA","22",1,FALSE
"10820","Alexandria, MN","27",1,FALSE
"10860","Alice, TX","48",1,FALSE
"10900","Allentown-Bethlehem-Easton, PA-NJ","34;42",2,TRUE
"10940","Alma, MI","26",1,FALSE
"10980","Alpena, MI","26",1,FALSE
"11020","Altoona, PA","42",1,FALSE
"11060","Altus, OK","40",1,FALSE
"11100","Amarillo, TX","48",1,FALSE
"11140","Americus, GA","13",1,FALSE
"11180","Ames, IA","19",1,FALSE
"11200","Amherst Town-Northampton, MA","25",1,FALSE
"11220","Amsterdam, NY","36",1,FALSE
"11260","Anchorage, AK","02",1,FALSE
"11360","Anderson Creek, NC","37",1,FALSE
"11380","Andrews, TX","48",1,FALSE
"11420","Angola, IN","18",1,FALSE
"11460","Ann Arbor, MI","26",1,FALSE
"11500","Anniston-Oxford, AL","01",1,FALSE
"11540","Appleton, WI","55",1,FALSE
"11580","Arcadia, FL","12",1,FALSE
"11620","Ardmore, OK","40",1,FALSE
"11640","Arecibo, PR","72",1,FALSE
"11660","Arkadelphia, AR","05",1,FALSE
"11680","Arkansas City-Winfield, KS","20",1,FALSE
"11700","Asheville, NC","37",1,FALSE
"11740","Ashland, OH","39",1,FALSE
"11820","Astoria, OR","41",1,FALSE
"11860","Atchison, KS","20",1,FALSE
"11900","Athens, OH","39",1,FALSE
"11940","Athens, TN","47",1,FALSE
"11980","Athens, TX","48",1,FALSE
"12020","Athens-Clarke County, GA","13",1,FALSE
"12060","Atlanta-Sandy Springs-Roswell, GA","13",1,FALSE
"12100","Atlantic City-Hammonton, NJ","34",1,FALSE
"12140","Auburn, IN","18",1,FALSE
"12180","Auburn, NY","36",1,FALSE
"12220","Auburn-Opelika, AL","01",1,FALSE
"12260","Augusta-Richmond County, GA-SC","13;45",2,TRUE
"12300","Augusta-Waterville, ME","23",1,FALSE
"12380","Austin, MN","27",1,FALSE
"12420","Austin-Round Rock-San Marcos, TX","48",1,FALSE
"12460","Bainbridge, GA","13",1,FALSE
"12520","Baker City, OR","41",1,FALSE
"12540","Bakersfield-Delano, CA","06",1,FALSE
"12580","Baltimore-Columbia-Towson, MD","24",1,FALSE
"12620","Bangor, ME","23",1,FALSE
"12660","Baraboo, WI","55",1,FALSE
"12700","Barnstable Town, MA","25",1,FALSE
"12740","Barre, VT","50",1,FALSE
"12780","Bartlesville, OK","40",1,FALSE
"12860","Batavia, NY","36",1,FALSE
"12900","Batesville, AR","05",1,FALSE
"12940","Baton Rouge, LA","22",1,FALSE
"12980","Battle Creek, MI","26",1,FALSE
"13020","Bay City, MI","26",1,FALSE
"13060","Bay City, TX","48",1,FALSE
"13100","Beatrice, NE","31",1,FALSE
"13140","Beaumont-Port Arthur, TX","48",1,FALSE
"13180","Beaver Dam, WI","55",1,FALSE
"13220","Beckley, WV","54",1,FALSE
"13260","Bedford, IN","18",1,FALSE
"13300","Beeville, TX","48",1,FALSE
"13340","Bellefontaine, OH","39",1,FALSE
"13380","Bellingham, WA","53",1,FALSE
"13420","Bemidji, MN","27",1,FALSE
"13460","Bend, OR","41",1,FALSE
"13540","Bennington, VT","50",1,FALSE
"13660","Big Rapids, MI","26",1,FALSE
"13700","Big Spring, TX","48",1,FALSE
"13740","Billings, MT","30",1,FALSE
"13780","Binghamton, NY","36",1,FALSE
"13820","Birmingham, AL","01",1,FALSE
"13860","Bishop, CA","06",1,FALSE
"13900","Bismarck, ND","38",1,FALSE
"13940","Blackfoot, ID","16",1,FALSE
"13980","Blacksburg-Christiansburg-Radford, VA","51",1,FALSE
"14010","Bloomington, IL","17",1,FALSE
"14020","Bloomington, IN","18",1,FALSE
"14100","Bloomsburg-Berwick, PA","42",1,FALSE
"14140","Bluefield, WV-VA","51;54",2,TRUE
"14180","Blytheville, AR","05",1,FALSE
"14220","Bogalusa, LA","22",1,FALSE
"14260","Boise City, ID","16",1,FALSE
"14300","Bonham, TX","48",1,FALSE
"14380","Boone, NC","37",1,FALSE
"14420","Borger, TX","48",1,FALSE
"14460","Boston-Cambridge-Newton, MA-NH","25;33",2,TRUE
"14500","Boulder, CO","08",1,FALSE
"14540","Bowling Green, KY","21",1,FALSE
"14580","Bozeman, MT","30",1,FALSE
"14620","Bradford, PA","42",1,FALSE
"14660","Brainerd, MN","27",1,FALSE
"14700","Branson, MO","29",1,FALSE
"14710","Brattleboro, VT","50",1,FALSE
"14720","Breckenridge, CO","08",1,FALSE
"14740","Bremerton-Silverdale-Port Orchard, WA","53",1,FALSE
"14780","Brenham, TX","48",1,FALSE
"14820","Brevard, NC","37",1,FALSE
"14860","Bridgeport-Stamford-Danbury, CT","09",1,FALSE
"14940","Brigham City, UT-ID","16;49",2,TRUE
"15020","Brookhaven, MS","28",1,FALSE
"15060","Brookings, OR","41",1,FALSE
"15100","Brookings, SD","46",1,FALSE
"15180","Brownsville-Harlingen, TX","48",1,FALSE
"15220","Brownwood, TX","48",1,FALSE
"15260","Brunswick-St. Simons, GA","13",1,FALSE
"15340","Bucyrus, OH","39",1,FALSE
"15380","Buffalo-Cheektowaga, NY","36",1,FALSE
"15420","Burley, ID","16",1,FALSE
"15460","Burlington, IA-IL","17;19",2,TRUE
"15500","Burlington, NC","37",1,FALSE
"15540","Burlington-South Burlington, VT","50",1,FALSE
"15580","Butte-Silver Bow, MT","30",1,FALSE
"15620","Cadillac, MI","26",1,FALSE
"15660","Calhoun, GA","13",1,FALSE
"15700","Cambridge, MD","24",1,FALSE
"15740","Cambridge, OH","39",1,FALSE
"15780","Camden, AR","05",1,FALSE
"15820","Campbellsville, KY","21",1,FALSE
"15860","Ca<U+00F1>on City, CO","08",1,FALSE
"15900","Canton, IL","17",1,FALSE
"15940","Canton-Massillon, OH","39",1,FALSE
"15980","Cape Coral-Fort Myers, FL","12",1,FALSE
"16020","Cape Girardeau, MO-IL","17;29",2,TRUE
"16060","Carbondale, IL","17",1,FALSE
"16100","Carlsbad-Artesia, NM","35",1,FALSE
"16140","Carroll, IA","19",1,FALSE
"16180","Carson City, NV","32",1,FALSE
"16220","Casper, WY","56",1,FALSE
"16260","Cedar City, UT","49",1,FALSE
"16300","Cedar Rapids, IA","19",1,FALSE
"16340","Cedartown, GA","13",1,FALSE
"16380","Celina, OH","39",1,FALSE
"16460","Centralia, IL","17",1,FALSE
"16500","Centralia, WA","53",1,FALSE
"16540","Chambersburg, PA","42",1,FALSE
"16580","Champaign-Urbana, IL","17",1,FALSE
"16620","Charleston, WV","54",1,FALSE
