place_geoid,place_name,state_fips,county_fips,n_tracts_matched,match_method,centroid_x_5070,centroid_y_5070,dist_to_county_border_km
3651000,New York,36,36047,2321,centroid_within_place,1832824.0066517983,2181977.326578278,0.3273215867496402
0644000,Los Angeles,06,06037,1111,centroid_within_place,-2030099.457487744,1465439.6633828133,14.653595757159698
1714000,Chicago,17,17031,793,centroid_within_place,684637.1353930542,2126113.849562993,5.49263682288399
4835000,Houston,48,48201,655,centroid_within_place,55554.59163317313,741776.4995507476,16.51180206071313
0455000,Phoenix,04,04013,373,centroid_within_place,-1477514.249688407,1287635.813755769,26.308224881004158
4260000,Philadelphia,42,42101,407,centroid_within_place,1751060.5978630465,2080353.5555174209,4.575947378844813
4865000,San Antonio,48,48029,294,centroid_within_place,-245839.17276016917,714964.9517183243,23.951377442683153
0666000,San Diego,06,06073,322,centroid_within_place,-1951497.2751578805,1297882.5502070792,11.378392402034615
4819000,Dallas,48,48113,353,centroid_within_place,-72302.32792785576,1082716.00537975,19.371284073279277
0668000,San Jose,06,06085,201,centroid_within_place,-2243372.702670914,1892914.2294960076,16.679801388332695
4805000,Austin,48,48453,217,centroid_within_place,-168091.9222346066,804862.1351679073,13.994934539102655
1235000,Jacksonville,12,12031,206,centroid_within_place,1374692.3721017104,906678.6813312903,12.921159375036787
4827000,Fort Worth,48,48439,186,centroid_within_place,-123882.405213436,1078447.5876953495,20.319174973988385
3918000,Columbus,39,39049,212,centroid_within_place,1097669.9703264046,1962722.3881995971,14.692822341578035
1836003,Indianapolis city (balance),18,18097,231,centroid_within_place,835145.9214548987,1906446.719836925,15.61877303119378
3712000,Charlotte,37,37119,239,centroid_within_place,1364801.831471812,1459102.6489958544,15.258706388752872
0667000,San Francisco,06,06075,242,centroid_within_place,-2277305.3322957824,1954810.6948789568,4.34644390807603
5363000,Seattle,53,53033,177,centroid_within_place,-1967307.8252857877,3011542.0706147463,2.3311745666447696
0820000,Denver,08,08031,178,centroid_within_place,-759077.7440984559,1891964.2690343661,1.7497981261288493
1150000,Washington,11,11001,206,centroid_within_place,1620213.1129929926,1927214.5282759485,4.730707608323925
4752006,Nashville-Davidson metropolitan government (balance),47,47037,165,centroid_within_place,824181.12247057,1494208.8828080012,11.930886830670135
4055000,Oklahoma City,40,40109,214,centroid_within_place,-140593.94279506544,1382263.37729457,9.74058046644309
4824000,El Paso,48,48141,145,centroid_within_place,-978384.8694072744,1023974.4587780152,6.468164132111868
2507000,Boston,25,25025,204,centroid_within_place,2016531.3316921652,2412975.3061004854,2.123472403131368
4159000,Portland,41,41051,164,centroid_within_place,-2053529.5818382355,2793034.6433422533,6.388428507471079
3240000,Las Vegas,32,32003,147,centroid_within_place,-1701992.5439409483,1634658.0993791532,44.80968866586152
2622000,Detroit,26,26163,273,centroid_within_place,1050927.6156512478,2225728.2865526085,6.5023807851569675
4748000,Memphis,47,47157,186,centroid_within_place,547780.1626936089,1357415.7607310798,12.023656910016944
2404000,Baltimore,24,24510,199,centroid_within_place,1644381.2129149253,1978382.2462636477,6.473481123237427
5553000,Milwaukee,55,55079,211,centroid_within_place,650991.6418003734,2256347.196920968,5.12106066940114
3502000,Albuquerque,35,35001,136,centroid_within_place,-957598.4122406339,1393152.3267972984,9.622566090916443
0477000,Tucson,04,04019,137,centroid_within_place,-1392407.2642927824,1123940.2312663924,34.279037002344964
0627000,Fresno,06,06019,114,centroid_within_place,-2080914.5690269908,1788566.096574109,7.583330517636679
0664000,Sacramento,06,06067,128,centroid_within_place,-2172349.7517529577,2018553.8723489253,3.887725807952996
2938000,Kansas City,29,29095,159,centroid_within_place,123970.11972336589,1786644.8550386734,3.156070954259205
0446000,Mesa,04,04013,118,centroid_within_place,-1448647.1776636618,1269098.9785539275,15.796453539280114
1304000,Atlanta,13,13121,173,centroid_within_place,1063960.4261630606,1254201.09061732,4.874806456493507
3137000,Omaha,31,31055,136,centroid_within_place,-4088.4963126719945,2027626.9734329092,7.2824307228676615
0816000,Colorado Springs,08,08041,111,centroid_within_place,-752928.4998404118,1795970.6801481424,16.990982362998412
3755000,Raleigh,37,37183,91,centroid_within_place,1545722.660707592,1561360.3511604073,14.45965941861357
0643000,Long Beach,06,06037,113,centroid_within_place,-2019187.7467422402,1430008.2890650597,4.854114599385249
5182000,Virginia Beach,51,51810,111,centroid_within_place,1745776.498714825,1714144.6597419947,7.728114737725799
1245000,Miami,12,12086,130,centroid_within_place,1590674.4789284163,436062.55659710953,4.121460698020872
0653000,Oakland,06,06001,116,centroid_within_place,-2258340.5940027586,1953292.0865432154,4.414786815554325
2743000,Minneapolis,27,27053,121,centroid_within_place,215234.54183713192,2444622.662788665,4.729089696927697
4075000,Tulsa,40,40143,136,centroid_within_place,7482.270166928223,1451161.6235479056,9.456836893627864
0603526,Bakersfield,06,06029,95,centroid_within_place,-2056464.8649778273,1615804.30091186,48.70014668112395
2079000,Wichita,20,20173,106,centroid_within_place,-116806.66409574471,1628491.434091007,16.090375344864036
4804000,Arlington,48,48439,86,centroid_within_place,-104301.19457746074,1069985.8893470357,7.697122792275607
2148006,Louisville/Jefferson County metro government (balance),21,21111,91,centroid_within_place,894649.1897250613,1730900.5956379594,9.968616618946937
0804000,Aurora,08,08005,82,centroid_within_place,-747089.005961187,1886363.1390038077,4.905804287193323
1271000,Tampa,12,12057,99,centroid_within_place,1332917.196910332,641829.6823730455,5.5522356701607904
2255000,New Orleans,22,22071,184,centroid_within_place,573041.797682404,784676.2838549967,3.4819600179265064
3916000,Cleveland,39,39035,158,centroid_within_place,1182705.0682554622,2141855.572798458,3.711572169702865
1571550,Urban Honolulu,15,15003,132,centroid_within_place,-6125575.28869605,1883977.5492615039,3.089789850089966
0602000,Anaheim,06,06059,60,centroid_within_place,-1995656.7420591814,1427263.805607732,9.866839447413957
7276770,San Juan,72,72127,126,centroid_within_place,3230321.7828311995,18350.82806579802,3.783471809298346
2146027,Lexington-Fayette,21,21067,82,centroid_within_place,998077.607096456,1725568.8265576353,7.325098430651685
0675000,Stockton,06,06077,69,centroid_within_place,-2175973.829456734,1952654.46344747,21.85026893330409
4817000,Corpus Christi,48,48355,81,centroid_within_place,-138325.0778687498,518049.9182744944,3.7038314833382073
3231900,Henderson,32,32003,72,centroid_within_place,-1689522.0811403203,1610907.344257931,26.76599031765641
0662000,Riverside,06,06065,69,centroid_within_place,-1947924.472007572,1428586.0410645227,9.382911567084173
3451000,Newark,34,34013,88,centroid_within_place,1810835.8639027253,2178497.258463868,1.916894958638202
2758000,St. Paul,27,27123,85,centroid_within_place,227807.10837214277,2444110.3418974923,3.5967835545920988
0669000,Santa Ana,06,06059,52,centroid_within_place,-1995814.3606751843,1416552.9790018313,13.695496417592818
3915000,Cincinnati,39,39061,105,centroid_within_place,981567.3072908139,1850515.320964726,3.943616534872821
0636770,Irvine,06,06059,48,centroid_within_place,-1987992.7074415984,1408357.1337326712,13.017087059034095
1253000,Orlando,12,12095,61,centroid_within_place,1429947.7182903034,714896.8877940634,11.534496948060516
4261000,Pittsburgh,42,42003,129,centroid_within_place,1341745.0673691125,2049833.3866111208,17.944801738440805
2965000,St. Louis,29,29510,103,centroid_within_place,495366.0038200245,1747304.7000506197,4.841751480438963
3728000,Greensboro,37,37081,69,centroid_within_place,1436162.6085066386,1571075.7254709378,18.156287013371916
3436000,Jersey City,34,34017,77,centroid_within_place,1821281.8361423586,2179108.2141629597,2.8140418747522427
0203000,Anchorage,02,02020,61,centroid_within_place,-3086203.2476434973,5069410.795535647,8.6003192883932
3128000,Lincoln,31,31109,65,centroid_within_place,-56393.62281543254,1977471.9474643737,17.59115548891751
4858016,Plano,48,48085,72,centroid_within_place,-69264.00713201484,1109618.2335874238,7.595948187238324
3719000,Durham,37,37063,53,centroid_within_place,1519056.5711236505,1572191.1399326932,7.620622650381533
3611000,Buffalo,36,36029,91,centroid_within_place,1385026.741430614,2338161.9452245296,4.5833000979018435
0412000,Chandler,04,04013,57,centroid_within_place,-1460006.579915918,1257761.000570545,9.656554276875248
0613392,Chula Vista,06,06073,51,centroid_within_place,-1946073.327831987,1277590.4713380076,9.113120032510587
3977000,Toledo,39,39095,115,centroid_within_place,1023052.8756143058,2140083.1839450835,5.334305358915032
5548000,Madison,55,55025,64,centroid_within_place,533943.5695814685,2249568.396729466,23.31665976373617
0427400,Gilbert,04,04013,57,centroid_within_place,-1449766.9839883612,1258540.5117387315,12.02280904000027
3260600,Reno,32,32031,72,centroid_within_place,-2007834.2344417535,2086115.5976320994,10.407730189935545
1825000,Fort Wayne,18,18003,63,centroid_within_place,904256.8994568915,2060832.7963178952,17.598619191487895
3251800,North Las Vegas,32,32003,59,centroid_within_place,-1693850.6663940265,1637638.1454597053,39.60260867274931
1263000,St. Petersburg,12,12103,77,centroid_within_place,1315331.2721526846,616916.6203810597,3.926415567101559
4845000,Lubbock,48,48303,85,centroid_within_place,-543615.5752941687,1181606.6936620409,16.71421106384821
4837000,Irving,48,48113,72,centroid_within_place,-89928.82531152426,1087569.2036050598,6.2280973424729025
4841464,Laredo,48,48479,60,centroid_within_place,-345502.5797314003,502028.80283392075,3.277708865724846
3775000,Winston-Salem,37,37067,59,centroid_within_place,1397694.0862918172,1565378.753893571,8.862808971846976
5116000,Chesapeake,51,51550,61,centroid_within_place,1731441.9524793176,1703147.4014134412,5.345073997191641
0465000,Scottsdale,04,04013,57,centroid_within_place,-1458001.0084318996,1290216.361566579,31.215308983754753
5103000,Arlington,51,51013,71,centroid_within_place,1613788.6169308675,1921885.027901356,3.000355126520461
5157000,Norfolk,51,51710,80,centroid_within_place,1730222.8027482433,1719371.4609918809,2.5226798310538094
1608830,Boise City,16,16001,63,centroid_within_place,-1615243.6158454404,2464103.2357888333,13.341813442106348
0626000,Fremont,06,06001,47,centroid_within_place,-2245614.250886966,1920662.4446584703,8.53575444919751
5367000,Spokane,53,53063,58,centroid_within_place,-1605462.1517351766,2924117.315346873,16.022244556415007
2205000,Baton Rouge,22,22033,55,centroid_within_place,467294.8779800522,830973.1513076155,6.985007181317176
5167000,Richmond,51,51760,75,centroid_within_place,1611997.5395061837,1768473.7777788711,4.4379264007023735
0665000,San Bernardino,06,06071,48,centroid_within_place,-1932861.115498903,1447425.4803280507,12.88042604627749
5370000,Tacoma,53,53053,52,centroid_within_place,-1988321.5432421002,2972566.4395228517,2.9938906798169187
0648354,Modesto,06,06099,42,centroid_within_place,-2158324.5720550283,1910279.9679960818,9.092054257942438
0137000,Huntsville,01,01089,55,centroid_within_place,851945.5616316486,1336012.016059029,13.82192606142277
