place_name,state_name,state_fips,place_geoid,cbsa_code,cbsa_title,metro_micro,population_2000,population_2020,county_fips,spans_multiple_counties
New York,New York,36,3651000,35620,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area,8008278,8804190,36047,TRUE
Los Angeles,California,06,0644000,31080,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,3694820,3898747,06037,FALSE
Chicago,Illinois,17,1714000,16980,"Chicago-Naperville-Elgin, IL-IN",Metropolitan Statistical Area,2896016,2746388,17031,FALSE
Houston,Texas,48,4835000,26420,"Houston-Pasadena-The Woodlands, TX",Metropolitan Statistical Area,1953631,2304580,48201,TRUE
Phoenix,Arizona,04,0455000,38060,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area,1321045,1608139,04013,FALSE
Philadelphia,Pennsylvania,42,4260000,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,1517550,1603797,42101,FALSE
San Antonio,Texas,48,4865000,41700,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area,1144646,1434625,48029,FALSE
San Diego,California,06,0666000,41740,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan Statistical Area,1223400,1386932,06073,FALSE
Dallas,Texas,48,4819000,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,1188580,1304379,48113,TRUE
San Jose,California,06,0668000,41940,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,894943,1013240,06085,FALSE
Austin,Texas,48,4805000,12420,"Austin-Round Rock-San Marcos, TX",Metropolitan Statistical Area,656562,961855,48453,TRUE
Jacksonville,Florida,12,1235000,27260,"Jacksonville, FL",Metropolitan Statistical Area,735617,949611,12031,FALSE
Fort Worth,Texas,48,4827000,19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,534694,918915,48439,TRUE
Columbus,Ohio,39,3918000,18140,"Columbus, OH",Metropolitan Statistical Area,711470,905748,39049,TRUE
Indianapolis city (balance),Indiana,18,1836003,26900,"Indianapolis-Carmel-Greenwood, IN",Metropolitan Statistical Area,781870,887642,18097,FALSE
Charlotte,North Carolina,37,3712000,16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,540828,874579,37119,FALSE
San Francisco,California,06,0667000,41860,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area,776733,873965,06075,FALSE
Seattle,Washington,53,5363000,42660,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area,563374,737015,53033,FALSE
