county_fips,state_fips,county_name,principal_cities,cbsa_codes,spans_multiple_counties,population_2000,population_2020
06037,06,"Los Angeles County, California",Burbank; Glendale; Long Beach; Los Angeles; Pasadena; Torrance,31080,FALSE,9519338,10014009
17031,17,"Cook County, Illinois",Chicago,16980,FALSE,5376741,5275541
48201,48,"Harris County, Texas",Houston; Pasadena,26420,TRUE,3400578,4731145
04013,04,"Maricopa County, Arizona",Chandler; Gilbert; Mesa; Phoenix; Scottsdale; Tempe,38060,FALSE,3072149,4420568
06073,06,"San Diego County, California",Carlsbad; Chula Vista; San Diego,41740,FALSE,2813833,3298634
06059,06,"Orange County, California",Anaheim; Costa Mesa; Irvine; Orange; Santa Ana,31080,FALSE,2846289,3186989
36047,36,"Kings County, New York",New York,35620,TRUE,2465326,2736074
12086,12,"Miami-Dade County, Florida",Miami,33100,FALSE,2253362,2701767
48113,48,"Dallas County, Texas",Dallas; Irving; Richardson,19100,TRUE,2218899,2613539
06065,06,"Riverside County, California",Corona; Riverside; Temecula,40140,FALSE,1545387,2418185
53033,53,"King County, Washington",Bellevue; Kent; Renton; Seattle,42660,FALSE,1737034,2269675
32003,32,"Clark County, Nevada",Henderson; Las Vegas; North Las Vegas; Paradise,29820,FALSE,1375765,2265461
06071,06,"San Bernardino County, California",Ontario; San Bernardino,40140,FALSE,1709434,2181654
48439,48,"Tarrant County, Texas",Arlington; Fort Worth,19100,TRUE,1446219,2110640
48029,48,"Bexar County, Texas",San Antonio,41700,FALSE,1392931,2009324
12011,12,"Broward County, Florida",Fort Lauderdale; Pompano Beach,33100,FALSE,1623018,1944375
06085,06,"Santa Clara County, California",San Jose; Santa Clara; Sunnyvale,41940,FALSE,1682585,1936259
26163,26,"Wayne County, Michigan",Dearborn; Detroit,19820,FALSE,2061162,1793561
06001,06,"Alameda County, California",Berkeley; Fremont; Oakland,41860,FALSE,1443741,1682353
25017,25,"Middlesex County, Massachusetts",Cambridge,14460,FALSE,1465396,1632002
42101,42,"Philadelphia County, Pennsylvania",Philadelphia,37980,FALSE,1517550,1603797
06067,06,"Sacramento County, California",Sacramento,40900,FALSE,1223499,1585055
12099,12,"Palm Beach County, Florida",West Palm Beach,33100,FALSE,1131184,1492191
12057,12,"Hillsborough County, Florida",Tampa,45300,FALSE,998948,1459762
12095,12,"Orange County, Florida",Orlando,36740,FALSE,896344,1429908
39049,39,"Franklin County, Ohio",Columbus,18140,TRUE,1068978,1323807
48453,48,"Travis County, Texas",Austin,12420,TRUE,812280,1290188
27053,27,"Hennepin County, Minnesota",Minneapolis,33460,FALSE,1116200,1281565
39035,39,"Cuyahoga County, Ohio",Cleveland,17410,FALSE,1393978,1264817
42003,42,"Allegheny County, Pennsylvania",Pittsburgh,38300,FALSE,1281666,1250578
49035,49,"Salt Lake County, Utah",Salt Lake City,41620,FALSE,898387,1185238
37183,37,"Wake County, North Carolina",Cary; Raleigh,39580,FALSE,627846,1129410
37119,37,"Mecklenburg County, North Carolina",Charlotte,16740,FALSE,695454,1115482
13121,13,"Fulton County, Georgia",Atlanta; Sandy Springs,12060,TRUE,816006,1066710
48085,48,"Collin County, Texas",Plano,19100,TRUE,491675,1064465
04019,04,"Pima County, Arizona",Tucson,46060,FALSE,843746,1043433
15003,15,"Honolulu County, Hawaii",Urban Honolulu,46520,FALSE,876156,1016508
06019,06,"Fresno County, California",Fresno,23420,FALSE,799407,1008654
12031,12,"Duval County, Florida",Jacksonville,27260,FALSE,778879,995567
18097,18,"Marion County, Indiana",Indianapolis city (balance),26900,FALSE,860454,977203
12103,12,"Pinellas County, Florida",Clearwater; St. Petersburg,45300,FALSE,921482,959107
09001,09,"Fairfield County, Connecticut",Bridgeport; Stamford,14860,FALSE,882567,957419
36029,36,"Erie County, New York",Buffalo,15380,FALSE,950265,954236
55079,55,"Milwaukee County, Wisconsin",Milwaukee,33340,FALSE,940164,939489
17043,17,"DuPage County, Illinois",Naperville,16980,TRUE,904161,932877
47157,47,"Shelby County, Tennessee",Memphis,32820,FALSE,897472,929744
53053,53,"Pierce County, Washington",Tacoma,42660,FALSE,700820,921130
06029,06,"Kern County, California",Bakersfield,12540,FALSE,661645,909235
48121,48,"Denton County, Texas",Denton,19100,FALSE,432976,906422
09003,09,"Hartford County, Connecticut",Hartford,25540,FALSE,857183,899498
26099,26,"Macomb County, Michigan",Warren,19820,FALSE,788149,881217
06075,06,"San Francisco County, California",San Francisco,41860,FALSE,776733,873965
48215,48,"Hidalgo County, Texas",Edinburg; McAllen,32580,FALSE,569463,870781
48141,48,"El Paso County, Texas",El Paso,21340,FALSE,679622,865657
09009,09,"New Haven County, Connecticut",New Haven; Waterbury,35300; 47930,FALSE,824008,864835
34013,34,"Essex County, New Jersey",Newark,35620,FALSE,793633,863728
25027,25,"Worcester County, Massachusetts",Worcester,49340,FALSE,750963,862111
06111,06,"Ventura County, California",Oxnard; San Buenaventura (Ventura); Thousand Oaks,37100,FALSE,753197,843843
39061,39,"Hamilton County, Ohio",Cincinnati,17140,FALSE,845303,830639
53061,53,"Snohomish County, Washington",Everett,42660,FALSE,606024,827957
48157,48,"Fort Bend County, Texas",Sugar Land,26420,FALSE,354452,822779
41051,41,"Multnomah County, Oregon",Portland,38900,FALSE,660486,815428
25025,25,"Suffolk County, Massachusetts",Boston,14460,FALSE,689807,797936
40109,40,"Oklahoma County, Oklahoma",Oklahoma City,36420,TRUE,660448,796292
21111,21,"Jefferson County, Kentucky",Louisville/Jefferson County metro government (balance),31140,FALSE,693604,782969
06077,06,"San Joaquin County, California",Stockton,44700,FALSE,563598,779233
06081,06,"San Mateo County, California",San Mateo,41860,FALSE,707161,764442
12071,12,"Lee County, Florida",Cape Coral,15980,FALSE,440888,760822
36055,36,"Monroe County, New York",Rochester,40380,FALSE,735343,759443
08041,08,"El Paso County, Colorado",Colorado Springs,17820,FALSE,516929,730395
12105,12,"Polk County, Florida",Lakeland,29460,FALSE,483924,725046
34017,34,"Hudson County, New Jersey",Jersey City,35620,FALSE,608975,724854
29095,29,"Jackson County, Missouri",Kansas City,28140,TRUE,654880,717204
47037,47,"Davidson County, Tennessee",Nashville-Davidson metropolitan government (balance),34980,FALSE,569891,715884
